NAME,PARTY,PC_NAME,AGE,PENDING_CRIMINAL_CASES,CONVICTED_CRIMINAL_CASES,MOVABLE_ASSETS,IMMOVABLE_ASSETS,LIABLITIES,EDUCATION,INCOME_TAX_COMPLIANCE,GOVERNMENT_DUES,LOCAL_RESIDENT
JAJULA BHASKAR,Shramajeevi Party,7-Malkajgiri,44,0,0,211000,0,0,GRADUATE,NO,NO,YES
RAMCHANDER RAO N,Bharatiya Janata Party,7-Malkajgiri,59,1,0,6540000,19400000,6100000,POST GRADUATE,NO,NO,NO
V.S.VINOD KUMAR,Independent,7-Malkajgiri,54,0,0,130000,4000000,1500000,9th Class,NO,NO,YES
ENDURAM TIRUPATHAIAH,Independent,7-Malkajgiri,46,0,0,0,0,0,9th Class,NO,NO,YES
CHALIKA CHANDRA SEKHAR,Independent,7-Malkajgiri,38,0,0,145000,4000000,702000,GRADUATE,YES,NO,YES
M.D.MUSHEERUDDIN,Independent,7-Malkajgiri,47,0,0,250000,4000000,0,INTERMIDIATE,NO,NO,YES
DEVA (K.NAGADEVA),Independent,7-Malkajgiri,48,0,0,225000,141600,0,8th Class,NO,NO,YES
BALAMANI BURU,India Praja Bandhu Party,7-Malkajgiri,32,0,0,160000,0,0,GRADUATE,NO,NO,YES
ANUMULA REVANTH REDDY,Indian National Congress,7-Malkajgiri,51,42,0,36500084,73344650,14453652,GRADUATE,YES,YES,NO
RAJENDER PONNALA,Independent,7-Malkajgiri,31,0,0,235000,850000,900000,GRADUATE,YES,NO,NO
RAJASHEKAR REDDY MARRI,Telangana Rashtra Samithi,7-Malkajgiri,50,0,0,79248313,224350495,75813928,INTERMIDIATE,NO,NO,YES
THOPULA RAJESWARI,Independent,7-Malkajgiri,43,0,0,460000,0,0,GRADUATE,NO,NO,YES
SAI KIRAN GONE,Independent,7-Malkajgiri,26,0,0,212089,0,0,POST GRADUATE,NO,NO,YES
M.DASHARATH,Independent,7-Malkajgiri,46,0,0,60000,0,0,SSC,NO,NO,YES
BONGUNOORI MAHENDER REDDY,Janasena Party,7-Malkajgiri,43,0,0,18848274,84129333,33609454,SSC,YES,NO,YES
KONDAPARTHI PARVATHI DEVI,Pyramid Party of India,7-Malkajgiri,45,0,0,40000,0,0,SSC,NO,NO,YES
GADDAM RAVINDER REDDY,Independent,7-Malkajgiri,58,0,0,50000,300000,0,SSC,YES,NO,NO
AKULA RAMESH,Telangana Karmika Raithu Rajyam Party,7-Malkajgiri,35,0,0,228000,0,0,GRADUATE,NO,NO,YES
AMIT KUMAR SHARMA,Rashtravyapi Janta Party,7-Malkajgiri,33,0,0,300000,0,0,9th Class,NO,NO,NO
ASHOK KUMAR GOUD,Independent,7-Malkajgiri,35,0,0,2180000,14000000,13300000,DOCTORATE,YES,NO,YES
CHAMAKURA RAJU,Social Justice Party of India,7-Malkajgiri,43,1,0,115000,0,0,GRADUATE,YES,NO,YES
CHUNDI. SHOBHAN BABU,Samajwadi Forward Bloc,7-Malkajgiri,45,0,0,105000,0,0,INTERMIDIATE,YES,NO,YES
DHARMASANAM BHANU MURTHY,Praja Satta Party,7-Malkajgiri,57,2,0,39000,0,50000,GRADUATE,YES,NO,YES
DONTHULA BIKSHAPATHI,Independent,7-Malkajgiri,43,0,0,110000,8110000,0,GRADUATE,NO,NO,YES
GAGANAM.VENKATASWAMY,Independent,7-Malkajgiri,44,0,0,51000,0,0,INTERMIDIATE,NO,NO,YES
KAIRAMKONDA BIKSHAPATHY,Independent,7-Malkajgiri,45,0,0,1500000,22000000,145000,POST GRADUATE,NO,NO,YES
KING WILLIAM,All India Forward Bloc,7-Malkajgiri,42,0,0,3861000,0,200000,GRADUATE,YES,NO,YES
KIRAN BOLLAPALLI,Anti Corruption Dynamic Party,7-Malkajgiri,49,0,0,0,0,0,GRADUATE,NO,NO,YES
KURAKULA RENU KUMAR,Independent,7-Malkajgiri,43,0,0,740000,12000000,835000,GRADUATE,YES,NO,YES
NALLA SRIKANTH,Republican Party of India (A),7-Malkajgiri,40,0,0,3681500,0,1500000,9th Class,YES,NO,YES
PAMBALLA SHIVARAJ,Independent,7-Malkajgiri,74,0,0,447500,7500000,0,SSC,YES,NO,YES
R.ANIL KUMAR,Independent,7-Malkajgiri,29,0,0,83000,0,0,GRADUATE,NO,NO,YES
RAMESHBABU SHANIGARAPU,Independent,7-Malkajgiri,34,0,0,56000,0,0,POST GRADUATE,NO,NO,NO
RATHOD DILEEP KUMAR,Independent,7-Malkajgiri,32,0,0,332500,0,0,GRADUATE,NO,NO,YES
SANKU GANESH,Independent,7-Malkajgiri,44,0,0,16000,500000,0,INTERMIDIATE,NO,NO,YES
SRINIVAS,Independent,7-Malkajgiri,28,0,0,30000,1000000,0,POST GRADUATE,NO,NO,YES
VENU MADHAV,Independent,7-Malkajgiri,42,0,0,632000,4000000,2800000,GRADUATE,YES,NO,YES
VIJAY KUMAR GOUD MOUTHALA,Telugu Desam,7-Malkajgiri,26,0,0,1000000,280000,436142,INTERMIDIATE,NO,NO,YES
ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,9-Hyderabad,49,5,0,16749518,112500000,93000000,POST GRADUATE,YES,YES,NO
B.G.VENKAT RAMESH NAIDU,Independent,9-Hyderabad,59,0,0,146000,2400000,0,9th Class,YES,NO,YES
DORNALA JAYA PRAKASH,New India Party,9-Hyderabad,36,2,0,337218,900000,100000,GRADUATE,YES,YES,YES
PUSTHE SRIKANTH,Telangana Rashtra Samithi,9-Hyderabad,46,0,0,100000,26800000,3300000,POST GRADUATE,YES,NO,YES
DAVID PEYYALA,Independent,9-Hyderabad,53,0,0,270000,0,0,POST GRADUATE,NO,NO,YES
SYED NOORULLAH QUADRI,Independent,9-Hyderabad,33,0,0,40000,0,0,9th Class,YES,NO,YES
Dr.HINGOLIKAR SUSHEEL RAJ,Independent,9-Hyderabad,34,0,0,0,0,0,SSC,YES,NO,YES
K.NAGARAJ,Independent,9-Hyderabad,45,0,0,43000,0,0,9th Class,NO,NO,YES
MOHAMMED FEROZ KHAN,Indian National Congress,9-Hyderabad,46,0,0,2500000,4000000,0,INTERMIDIATE,YES,NO,YES
V.BAL KRISHNA,Independent,9-Hyderabad,37,0,0,160000,0,0,GRADUATE,NO,NO,YES
