CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX,WINNER,TOTAL_VOTES,VOTING_PERCENTAGE
5814,GODAM NAGESH,54,ADILABAD,TELANGANA,TRS,0,Post Graduate,18477888.0,0.665,0.031,2,2,4,-0.0814,1,0,M,0,318814.0,0.2997
5819,AARE ELLANNA,53,ADILABAD,TELANGANA,IND,0,5th Pass,30000.0,0.665,0.031,1,2,0,-0.0814,1,0,M,0,3019.0,0.0028000000000000004
5823,NETHAVATH RAMDAS,46,ADILABAD,TELANGANA,IND,0,Literate,0.0,0.665,0.031,1,3,0,-0.0814,1,0,M,0,5523.0,0.005200000000000001
4588,RAMESH RATHOD,53,ADILABAD,TELANGANA,INC,3,12th Pass,21191000.0,0.665,0.031,3,2,2,-0.0814,1,0,M,0,314238.0,0.2954
5815,DHARAVTH NARENDHAR,27,ADILABAD,TELANGANA,Janasena Party,0,Post Graduate,50000.0,0.665,0.031,1,5,4,-0.0814,1,0,M,0,5241.0,0.0049
5820,KUMRA RAJU,29,ADILABAD,TELANGANA,IND,0,10th Pass,30000.0,0.665,0.031,1,5,1,-0.0814,1,0,M,0,4388.0,0.0040999999999999995
5824,PAWAR KRISHNA,39,ADILABAD,TELANGANA,IND,0,Post Graduate,1140000.0,0.665,0.031,1,4,4,-0.0814,1,0,M,0,2705.0,0.0025
5069,BAPU RAO SOYAM,52,ADILABAD,TELANGANA,BJP,52,12th Pass,2867964.09,0.665,0.031,3,2,2,-0.0814,1,0,M,1,377374.0,0.35479999999999995
5813,GANTA PENTANNA,47,ADILABAD,TELANGANA,IND,0,Post Graduate,670000.0,0.665,0.031,1,3,4,-0.0814,1,0,M,0,4548.0,0.0043
5816,BHEEM RAO,33,ADILABAD,TELANGANA,Ambedkarite Party of India,0,5th Pass,274000.0,0.665,0.031,1,4,0,-0.0814,1,0,M,0,6837.0,0.0064
5821,KUMRAM VANDANA,35,ADILABAD,TELANGANA,Nava Praja Rajyam Party,0,Illiterate,1300000.0,0.665,0.031,1,4,0,-0.0814,1,0,F,0,8007.0,0.0075
7132,AMBEDKARI HASNURAM AMBEDKARI,64,AGRA,UTTAR PRADESH,IND,1,Literate,-83800.0,0.6972,0.147,1,1,0,0.0121,7,0,M,0,2768.0,0.0024
7135,RAJA,30,AGRA,UTTAR PRADESH,Rashtriya Vyapari Party,0,8th Pass,948885.0,0.6972,0.147,1,4,0,0.0121,7,0,M,0,1326.0,0.0012
5522,SATYAPAL SINGH BAGHEL,58,AGRA,UTTAR PRADESH,BJP,5,Doctorate,65667514.0,0.6972,0.147,3,2,5,0.0121,7,0,M,1,646875.0,0.5648
7133,BABU LAL,63,AGRA,UTTAR PRADESH,IND,0,Graduate,5015863.0,0.6972,0.147,1,1,3,0.0121,7,0,M,0,2381.0,0.0021
7136,RAMJI LAL VIDHYARTHI,61,AGRA,UTTAR PRADESH,Peace Party,3,10th Pass,318500.0,0.6972,0.147,1,1,1,0.0121,7,0,M,0,1468.0,0.0013000000000000002
5519,MANOJ KUMAR SONI,47,AGRA,UTTAR PRADESH,BSP,0,Post Graduate,111532488.0,0.6972,0.147,3,3,4,0.0121,7,0,M,0,435329.0,0.3801
7134,HIMANSHI,26,AGRA,UTTAR PRADESH,Lok Gathbandhan Party,0,Graduate,30000.0,0.6972,0.147,1,5,3,0.0121,7,0,F,0,1408.0,0.0012
5521,PREETA HARIT,54,AGRA,UTTAR PRADESH,INC,0,Post Graduate,55075753.0,0.6972,0.147,3,2,4,0.0121,7,0,F,0,45149.0,0.0394
9370,MISHRA ARJUN RAMSHANKAR,27,AHMEDABAD EAST,GUJARAT,Jan Sangharsh Virat Party,0,Others,-65947.0,0.7931,0.048,1,5,0,0.0045,1,0,M,0,821.0,0.0007000000000000001
8486,GEETABEN PATEL,39,AHMEDABAD EAST,GUJARAT,INC,6,10th Pass,37253530.0,0.7931,0.048,3,4,1,0.0045,1,0,F,0,315504.0,0.2826
9373,PARESHKUMAR NANUBHAI MULANI,47,AHMEDABAD EAST,GUJARAT,IND,0,Doctorate,2100000.0,0.7931,0.048,1,3,5,0.0045,1,0,M,0,458.0,0.0004
9376,BHATT SUNILKUMAR NARENDRABHAI,38,AHMEDABAD EAST,GUJARAT,Right to Recall Party,0,Post Graduate,2505720.0,0.7931,0.048,1,4,4,0.0045,1,0,M,0,704.0,0.0006
10032,MAHESH PRABHUDAS AHUJA,57,AHMEDABAD EAST,GUJARAT,IND,1,Others,9609132.0,0.7931,0.048,1,2,0,0.0045,1,0,M,0,1791.0,0.0016
9379,MANOJ PREMCHAND GUPTA,35,AHMEDABAD EAST,GUJARAT,Sarvodaya Bharat Party,0,8th Pass,2325000.0,0.7931,0.048,1,4,0,0.0045,1,0,M,0,604.0,0.0005
10035,SHEKH SALMABANU MOHAMAD SALIM,33,AHMEDABAD EAST,GUJARAT,IND,0,8th Pass,140000.0,0.7931,0.048,1,4,0,0.0045,1,0,F,0,1466.0,0.0013000000000000002
9384,RAJESH MAURYA,44,AHMEDABAD EAST,GUJARAT,Prajatantra Aadhar Party,0,10th Pass,17796.0,0.7931,0.048,1,3,1,0.0045,1,0,M,0,1346.0,0.0012
9387,VIRAT PRADIP SHAH,45,AHMEDABAD EAST,GUJARAT,Jan Satya Path Party,0,12th Pass,13503000.0,0.7931,0.048,1,3,2,0.0045,1,0,M,0,899.0,0.0008
9371,VEKARIYA RUSHI BHARATBHAI (PATEL),25,AHMEDABAD EAST,GUJARAT,Hindusthan Nirman Dal,0,12th Pass,9298481.34,0.7931,0.048,1,5,2,0.0045,1,0,M,0,1649.0,0.0015
8487,VAGHELA GANESHBHAI NARSINHBHAI,59,AHMEDABAD EAST,GUJARAT,BSP,0,12th Pass,70910239.0,0.7931,0.048,3,2,2,0.0045,1,0,M,0,9121.0,0.008199999999999999
9374,MUNDRA ANILKUMAR,40,AHMEDABAD EAST,GUJARAT,Lok Gathbandhan Party,0,Graduate Professional,1514539.0,0.7931,0.048,1,3,3,0.0045,1,0,M,0,635.0,0.0006
10030,CHAUHAN KIRITBHAI,45,AHMEDABAD EAST,GUJARAT,IND,0,10th Pass,2850000.0,0.7931,0.048,1,3,1,0.0045,1,0,M,0,3548.0,0.0032
9377,MINAXIBEN RAKESHKUMAR SOLANKI,32,AHMEDABAD EAST,GUJARAT,IND,0,Graduate,6963794.0,0.7931,0.048,1,4,3,0.0045,1,0,F,0,898.0,0.0008
10033,MISHRA RAJKUMAR MALEKCHAND,36,AHMEDABAD EAST,GUJARAT,IND,0,12th Pass,1538000.0,0.7931,0.048,1,4,2,0.0045,1,0,M,0,534.0,0.0005
9381,ATULBHAI NANUBHAI KATHIRIYA,34,AHMEDABAD EAST,GUJARAT,IND,0,Graduate,2862541.44,0.7931,0.048,1,4,3,0.0045,1,0,M,0,6082.0,0.0054
9385,CHAUHAN NARENDRA SINH MAKHATUL SINH,51,AHMEDABAD EAST,GUJARAT,Yuva Jan Jagriti Party,0,Graduate,5294629.0,0.7931,0.048,1,2,3,0.0045,1,0,M,0,589.0,0.0005
9388,THAKUR JITENDRASINH SURENDRASINH,33,AHMEDABAD EAST,GUJARAT,Loktantrik Rashrtavadi Party,0,12th Pass,1148735.0,0.7931,0.048,1,4,2,0.0045,1,0,M,0,705.0,0.0006
9369,KADRI MOHAMMAD SABIR,33,AHMEDABAD EAST,GUJARAT,Ambedkar National Congress,0,5th Pass,50000.0,0.7931,0.048,1,4,0,0.0045,1,0,M,0,628.0,0.0006
9372,DEVDA DASHARATH MISARILAL,55,AHMEDABAD EAST,GUJARAT,IND,1,5th Pass,65000.0,0.7931,0.048,1,2,0,0.0045,1,0,M,0,1395.0,0.0012
9375,SAMIRBHAI RAJESHBHAI UPADHYAY,37,AHMEDABAD EAST,GUJARAT,Manvadhikar National Party,0,8th Pass,95000.0,0.7931,0.048,1,4,0,0.0045,1,0,M,0,1272.0,0.0011
10031,BHARVAD SAILESHKUMAR KALIDAS,42,AHMEDABAD EAST,GUJARAT,IND,2,8th Pass,1790000.0,0.7931,0.048,1,3,0,0.0045,1,0,M,0,573.0,0.0005
9378,JAYSWAL NARESHKUMAR BABULAL,28,AHMEDABAD EAST,GUJARAT,IND,0,10th Pass,562000.0,0.7931,0.048,1,5,1,0.0045,1,0,M,0,2517.0,0.0023
10034,SHARMA BRIJESHKUMAR UJAGARLAL,38,AHMEDABAD EAST,GUJARAT,IND,0,Graduate,26800.0,0.7931,0.048,1,4,3,0.0045,1,0,M,0,1337.0,0.0012
9383,DR. HITESHKUMAR MAHENDRABHAI,38,AHMEDABAD EAST,GUJARAT,Nirbhay Bharteey Party,0,Graduate Professional,3333565.0,0.7931,0.048,1,4,3,0.0045,1,0,M,0,2449.0,0.0022
9386,PATEL HASMUKHBHAI SOMABHAI,58,AHMEDABAD EAST,GUJARAT,BJP,0,Others,68447113.0,0.7931,0.048,3,2,0,0.0045,1,0,M,1,749834.0,0.6717000000000001
