STATE,NO_CONTESTING_CANDIDATES,PENDING_CRIMINAL_CASES_PER_CANDIDATE
KERALA,220,3.29
DAMAN AND DIU,4,3.25
WEST BENGAL,466,0.93
LAKSHADWEEP,6,0.83
DADRA AND NAGAR HAVELI,11,0.82
BIHAR,655,0.79
UTTAR PRADESH,932,0.77
ODISHA,173,0.72
MAHARASHTRA,836,0.63
JHARKHAND,227,0.55
TELANGANA,439,0.54
ANDHRA PRADESH,315,0.48
GUJARAT,371,0.4
GOA,12,0.33
TAMIL NADU,804,0.33
HIMACHAL PRADESH,57,0.3
MANIPUR,19,0.26
HARYANA,223,0.25
ASSAM,144,0.25
RAJASTHAN,249,0.24
MADHYA PRADESH,434,0.24
PUNJAB,277,0.23
KARNATAKA,469,0.22
UTTARAKHAND,51,0.2
PUDUCHERRY,17,0.18
JAMMU AND KASHMIR,79,0.18
NATIONAL CAPITAL TERRITORY OF DELHI,159,0.17
TRIPURA,23,0.17
ARUNACHAL PRADESH,12,0.17
CHHATTISGARH,165,0.16
CHANDIGARH,36,0.08
ANDAMAN AND NICOBAR ISLANDS,15,0.07
MEGHALAYA,9,0.0
MIZORAM,6,0.0
NAGALAND,4,0.0
SIKKIM,11,0.0
