CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE
AYAN MANDAL,1,ANDAMAN AND NICOBAR ISLANDS,1717,All India Trinamool Congress,4,U01,ANDAMAN AND NICOBAR ISLANDS,1721,0.83
KULDEEP RAI SHARMA,1,ANDAMAN AND NICOBAR ISLANDS,95249,Indian National Congress,59,U01,ANDAMAN AND NICOBAR ISLANDS,95308,45.98
PRAKASH MINJ,1,ANDAMAN AND NICOBAR ISLANDS,2478,Bahujan Samaj Party,8,U01,ANDAMAN AND NICOBAR ISLANDS,2486,1.2
VISHAL JOLLY,1,ANDAMAN AND NICOBAR ISLANDS,93772,Bharatiya Janata Party,129,U01,ANDAMAN AND NICOBAR ISLANDS,93901,45.3
SANJAY MESHACK,1,ANDAMAN AND NICOBAR ISLANDS,2837,Aam Aadmi Party,2,U01,ANDAMAN AND NICOBAR ISLANDS,2839,1.37
C G SAJI KUMAR,1,ANDAMAN AND NICOBAR ISLANDS,212,All India Hindustan Congress Party,0,U01,ANDAMAN AND NICOBAR ISLANDS,212,0.1
K KALIMUTHU,1,ANDAMAN AND NICOBAR ISLANDS,269,Independent,6,U01,ANDAMAN AND NICOBAR ISLANDS,275,0.13
V V KHALID,1,ANDAMAN AND NICOBAR ISLANDS,305,Independent,1,U01,ANDAMAN AND NICOBAR ISLANDS,306,0.15
GOUR CHANDRA MAJUMDER,1,ANDAMAN AND NICOBAR ISLANDS,221,Independent,0,U01,ANDAMAN AND NICOBAR ISLANDS,221,0.11
PARITOSH KUMAR HALDAR,1,ANDAMAN AND NICOBAR ISLANDS,5339,Independent,2,U01,ANDAMAN AND NICOBAR ISLANDS,5341,2.58
MINATI BISWAS,1,ANDAMAN AND NICOBAR ISLANDS,615,Independent,3,U01,ANDAMAN AND NICOBAR ISLANDS,618,0.3
C U RASHEED,1,ANDAMAN AND NICOBAR ISLANDS,272,Independent,1,U01,ANDAMAN AND NICOBAR ISLANDS,273,0.13
K VENKAT RAM BABU,1,ANDAMAN AND NICOBAR ISLANDS,914,Independent,0,U01,ANDAMAN AND NICOBAR ISLANDS,914,0.44
S SUDERSHAN RAO,1,ANDAMAN AND NICOBAR ISLANDS,475,Independent,0,U01,ANDAMAN AND NICOBAR ISLANDS,475,0.23
